,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,updated_github_id
157,comet-ml/opik-mcp,comet-ml/opik-mcp,"Use natural language to explore LLM observability, traces, and monitoring data captured by Opik.","['cloud', 'local', 'official', 'typescript']",developer-tools,https://github.com/comet-ml/opik-mcp,https://github.com/comet-ml/opik-mcp,Apache-2.0,2025-03-11 16:31:03,2025-09-16 21:36:59,2025-09-16 21:36:58,57.0,14.0,27.0,5.0,11.0,29.0,,169.0,,,,,,7.0,12,True,3.0,,,,
158,alexei-led/aws-mcp-server,alexei-led/aws-mcp-server,"A lightweight but powerful server that enables AI assistants to execute AWS CLI commands, use Unix pipes, and apply..","['cloud', 'python']",cloud-platforms,https://github.com/alexei-led/aws-mcp-server,https://github.com/alexei-led/aws-mcp-server,MIT,2025-03-19 13:42:40,2025-04-10 19:06:06,2025-04-10 19:01:00,114.0,,27.0,3.0,10.0,5.0,4.0,165.0,2025-04-11 17:45:49,1.3.0,6.0,,,,12,True,3.0,,,,
159,ktanaka101/mcp-server-duckdb,ktanaka101/mcp-server-duckdb,DuckDB database integration with schema inspection and query capabilities.,"['local', 'python']",databases,https://github.com/ktanaka101/mcp-server-duckdb,https://github.com/ktanaka101/mcp-server-duckdb,MIT,2024-11-30 14:25:37,2025-05-05 11:02:57,2025-05-05 10:54:44,53.0,,18.0,6.0,20.0,2.0,7.0,165.0,2025-05-05 11:00:02,1.1.0,9.0,1.0,1.0,4.0,12,True,3.0,,,,
160,PV-Bhat/vibe-check-mcp-server,PV-Bhat/vibe-check-mcp-server,An MCP server that prevents cascading errors and scope creep by calling a Vibe-check agent to ensure user alignment.,"['cloud', 'typescript']",other-tools-and-integrations,https://github.com/PV-Bhat/vibe-check-mcp-server,https://github.com/PV-Bhat/vibe-check-mcp-server,MIT,2025-03-22 09:33:08,2025-09-28 12:16:16,2025-09-28 12:16:16,174.0,68.0,19.0,1.0,29.0,3.0,2.0,142.0,2025-09-03 17:29:32,V2.5,3.0,,,7.0,12,True,2.0,,,,
161,tumf/mcp-shell-server,tumf/mcp-shell-server,A secure shell command execution server implementing the Model Context Protocol (MCP).,[],command-line,https://github.com/tumf/mcp-shell-server,https://github.com/tumf/mcp-shell-server,MIT,2024-12-10 13:09:04,2025-09-08 19:43:08,2025-09-06 13:14:26,213.0,42.0,39.0,2.0,20.0,2.0,1.0,139.0,2024-12-23 00:21:09,1.0.3,2.0,1.0,1.0,11.0,12,True,3.0,,,,
162,silenceper/mcp-k8s,silenceper/mcp-k8s,MCP-K8S is an AI-driven Kubernetes resource management tool that allows users to operate any resources in Kubernetes..,"['cloud', 'go', 'local']",cloud-platforms,https://github.com/silenceper/mcp-k8s,https://github.com/silenceper/mcp-k8s,Apache-2.0,2025-04-03 08:56:13,2025-08-15 02:05:48,2025-08-15 02:05:40,56.0,6.0,24.0,1.0,18.0,1.0,2.0,125.0,2025-05-08 11:48:55,1.0.5,6.0,1.0,1.0,5.0,12,True,3.0,315.0,52.0,,
163,tacticlaunch/mcp-linear,tacticlaunch/mcp-linear,Integrates with Linear project management system.,"['cloud', 'linux', 'macos', 'typescript', 'windows']",other-tools-and-integrations,https://github.com/tacticlaunch/mcp-linear,https://github.com/tacticlaunch/mcp-linear,MIT,2025-03-23 15:27:19,2025-09-05 11:26:54,2025-09-05 11:26:53,47.0,9.0,21.0,3.0,10.0,5.0,2.0,106.0,2025-09-05 11:26:55,1.0.12,11.0,2.0,2.0,6.0,12,True,2.0,,,,
164,jdubois/azure-cli-mcp,jdubois/azure-cli-mcp,A wrapper around the Azure CLI command line that allows you to talk directly to Azure.,[],cloud-platforms,https://github.com/jdubois/azure-cli-mcp,https://github.com/jdubois/azure-cli-mcp,MIT,2025-03-28 16:51:51,2025-09-12 07:33:36,2025-09-12 07:28:29,99.0,11.0,17.0,2.0,6.0,,3.0,81.0,2025-09-12 07:33:36,0.2.1,16.0,,,5.0,12,True,3.0,129.0,18.0,,
165,aashari/mcp-server-atlassian-bitbucket,aashari/mcp-server-atlassian-bitbucket,"Atlassian Bitbucket Cloud integration. Enables AI systems to interact with repositories, pull requests, workspaces,..","['cloud', 'typescript']",developer-tools,https://github.com/aashari/mcp-server-atlassian-bitbucket,https://github.com/aashari/mcp-server-atlassian-bitbucket,,2025-03-24 12:18:56,2025-10-05 11:04:09,2025-10-05 11:04:08,578.0,32.0,32.0,2.0,115.0,7.0,16.0,79.0,2025-10-05 11:04:16,1.45.0,100.0,1.0,1.0,8.0,12,True,3.0,,,,
166,aliyun/alibaba-cloud-ops-mcp-server,aliyun/alibaba-cloud-ops-mcp-server,"A MCP server that enables AI assistants to operation resources on Alibaba Cloud, supporting ECS, Cloud Monitor, OOS..","['cloud', 'official', 'python']",cloud-platforms,https://github.com/aliyun/alibaba-cloud-ops-mcp-server,https://github.com/aliyun/alibaba-cloud-ops-mcp-server,Apache-2.0,2025-04-17 06:17:10,2025-09-26 06:31:07,2025-09-26 05:59:14,83.0,9.0,23.0,3.0,47.0,,2.0,77.0,2025-06-25 12:15:40,0.9.1,4.0,1.0,1.0,4.0,12,True,3.0,,,,
