,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,new_addition
98,eyalzh/browser-control-mcp,eyalzh/browser-control-mcp,An MCP server paired with a browser extension that enables LLM clients to control the users browser (Firefox).,"['local', 'typescript']",browser-automation,https://github.com/eyalzh/browser-control-mcp,https://github.com/eyalzh/browser-control-mcp,MIT,2025-03-27 16:16:33,2025-08-17 09:24:40,2025-08-17 09:24:34,67,49.0,23,2.0,25.0,4.0,4.0,111,2025-07-29 09:09:43,1.5.1,6.0,,,2.0,14,True,2,413.0,413.0,,
99,gbrigandi/mcp-server-wazuh,gbrigandi/mcp-server-wazuh,"A Rust-based MCP server bridging Wazuh SIEM with AI assistants, providing real-time security alerts and event data for..","['linux', 'local', 'macos', 'rust', 'windows']",security,https://github.com/gbrigandi/mcp-server-wazuh,https://github.com/gbrigandi/mcp-server-wazuh,MIT,2025-05-07 18:14:55,2025-07-10 21:58:02,2025-07-10 21:56:37,35,20.0,25,9.0,,3.0,6.0,94,2025-07-10 21:58:09,0.2.4,7.0,,,,14,True,2,404.0,134.0,,
100,yangkyeongmo/mcp-server-apache-airflow,yangkyeongmo/mcp-server-apache-airflow,MCP server that connects to Apache Airflow using official client.,"['local', 'python']",developer-tools,https://github.com/yangkyeongmo/mcp-server-apache-airflow,https://github.com/yangkyeongmo/mcp-server-apache-airflow,MIT,2025-02-13 04:09:06,2025-08-14 04:43:24,2025-08-14 04:42:11,80,36.0,22,4.0,19.0,5.0,8.0,77,2025-08-14 04:44:46,0.2.7,5.0,,,6.0,14,True,2,,,,
101,VictoriaMetrics-Community/mcp-victoriametrics,VictoriaMetrics-Community/mcp-victoriametrics,"Provides comprehensive integration with your VictoriaMetrics instance APIs and documentation for monitoring,..","['go', 'local', 'official']",monitoring,https://github.com/VictoriaMetrics-Community/mcp-victoriametrics,https://github.com/VictoriaMetrics-Community/mcp-victoriametrics,Apache-2.0,2025-05-08 20:25:27,2025-08-12 19:52:33,2025-08-12 19:52:26,133,109.0,7,5.0,32.0,2.0,4.0,64,2025-08-01 21:46:45,1.6.0,17.0,,,6.0,14,True,2,252.0,84.0,,
102,BrowserMCP/mcp,BrowserMCP/mcp,Automate your local Chrome browser.,"['local', 'typescript']",browser-automation,https://github.com/BrowserMCP/mcp,https://github.com/BrowserMCP/mcp,Apache-2.0,2025-03-28 02:01:22,2025-04-24 21:49:44,2025-04-24 21:49:35,6,,247,13.0,7.0,74.0,32.0,3703,,,,15.0,15.0,,13,True,2,,,,
103,21st-dev/magic-mcp,21st-dev/magic-mcp,Create crafted UI components inspired by the best 21st.dev design engineers.,[],developer-tools,https://github.com/21st-dev/magic-mcp,https://github.com/21st-dev/magic-mcp,,2025-02-19 13:17:50,2025-06-09 14:36:59,2025-06-09 14:36:35,71,5.0,224,17.0,9.0,10.0,9.0,3366,,,,13.0,13.0,6.0,13,True,2,,,,
104,brightdata/brightdata-mcp,brightdata/brightdata-mcp,"Discover, extract, and interact with the web - one interface powering automated access across the public internet.","['cloud', 'typescript']",search-data-extraction,https://github.com/brightdata/brightdata-mcp,https://github.com/brightdata/brightdata-mcp,MIT,2025-04-15 10:55:56,2025-08-15 08:02:08,2025-08-15 06:38:02,160,97.0,148,7.0,34.0,4.0,16.0,1091,,,,,,12.0,13,True,2,,,,
105,crystaldba/postgres-mcp,crystaldba/postgres-mcp,"All-in-one MCP server for Postgres development and operations, with tools for performance analysis, tuning, and health..","['local', 'python']",databases,https://github.com/crystaldba/postgres-mcp,https://github.com/crystaldba/postgres-mcp,MIT,2025-03-24 18:28:53,2025-05-16 14:44:39,2025-05-16 14:43:02,67,,102,7.0,77.0,14.0,5.0,934,2025-05-16 14:45:33,0.3.0,4.0,4.0,4.0,4.0,13,True,2,63.0,15.0,,
106,suekou/mcp-notion-server,suekou/mcp-notion-server,Interacting with Notion API.,"['local', 'typescript']",other-tools-and-integrations,https://github.com/suekou/mcp-notion-server,https://github.com/suekou/mcp-notion-server,MIT,2024-11-30 10:01:30,2025-05-14 01:03:59,2025-05-14 01:00:40,82,,135,7.0,34.0,10.0,15.0,805,2025-05-14 01:03:59,1.2.4,10.0,,,9.0,13,True,2,,,,
107,co-browser/browser-use-mcp-server,co-browser/browser-use-mcp-server,browser-use packaged as an MCP server with SSE transport. includes a dockerfile to run chromium in docker + a vnc..,['python'],browser-automation,https://github.com/co-browser/browser-use-mcp-server,https://github.com/co-browser/browser-use-mcp-server,MIT,2025-03-06 09:47:03,2025-07-10 09:57:23,2025-07-10 09:57:18,161,2.0,95,4.0,31.0,9.0,10.0,694,2025-04-15 23:37:23,1.0.3,4.0,,,7.0,13,True,2,71.0,17.0,,
108,datalayer/jupyter-mcp-server,datalayer/jupyter-mcp-server,Model Context Protocol (MCP) Server for Jupyter.,"['local', 'python']",data-science-tools,https://github.com/datalayer/jupyter-mcp-server,https://github.com/datalayer/jupyter-mcp-server,BSD-3-Clause,2025-02-12 06:41:35,2025-08-16 09:48:56,2025-08-16 09:48:51,107,66.0,95,12.0,34.0,8.0,10.0,587,,,,,,10.0,13,True,2,,,,
109,wong2/mcp-cli,wong2/mcp-cli,CLI tool for testing MCP servers.,"['local', 'typescript']",other-tools-and-integrations,https://github.com/wong2/mcp-cli,https://github.com/wong2/mcp-cli,GPL-3.0,2024-12-05 04:21:46,2025-08-13 08:30:34,2025-08-07 03:41:09,63,10.0,29,3.0,6.0,5.0,6.0,370,,,,35.0,35.0,4.0,13,True,2,,,,
110,graphlit/graphlit-mcp-server,graphlit/graphlit-mcp-server,"Ingest anything from Slack, Discord, websites, Google Drive, Linear or GitHub into a Graphlit project - and then..","['cloud', 'typescript']",knowledge-and-memory,https://github.com/graphlit/graphlit-mcp-server,https://github.com/graphlit/graphlit-mcp-server,MIT,2025-03-01 08:02:03,2025-08-08 19:41:56,2025-08-08 19:41:48,242,40.0,43,3.0,5.0,,,347,,,,3.0,3.0,4.0,13,True,2,,,,
