,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads
131,xing5/mcp-google-sheets,xing5/mcp-google-sheets,"A Model Context Protocol server for interacting with Google Sheets. This server provides tools to create, read,..","['cloud', 'python']",databases,https://github.com/xing5/mcp-google-sheets,https://github.com/xing5/mcp-google-sheets,MIT,2025-03-22 01:01:45,2025-07-18 00:56:14,2025-07-18 00:50:34,14,5.0,77,4.0,8.0,4.0,16.0,313,2025-07-18 00:56:14,0.4.1,5.0,,,4.0,12,True,3,,
132,runekaagaard/mcp-alchemy,runekaagaard/mcp-alchemy,"Universal SQLAlchemy-based database integration supporting PostgreSQL, MySQL, MariaDB, SQLite, Oracle, MS SQL Server..","['local', 'python']",databases,https://github.com/runekaagaard/mcp-alchemy,https://github.com/runekaagaard/mcp-alchemy,MPL-2.0,2024-12-26 14:09:30,2025-07-09 15:29:43,2025-07-09 15:29:41,117,12.0,50,6.0,12.0,,16.0,284,,,,,,6.0,12,True,3,,
133,ttommyth/interactive-mcp,ttommyth/interactive-mcp,Enables interactive LLM workflows by adding local user prompts and chat capabilities directly into the MCP loop.,"['linux', 'local', 'macos', 'typescript', 'windows']",other-tools-and-integrations,https://github.com/ttommyth/interactive-mcp,https://github.com/ttommyth/interactive-mcp,MIT,2025-04-25 13:38:04,2025-06-16 14:29:21,2025-06-12 02:34:26,45,8.0,21,1.0,4.0,5.0,9.0,276,2025-06-16 14:29:24,1.10.1,15.0,1.0,1.0,4.0,12,True,2,,
134,mzxrai/mcp-webresearch,mzxrai/mcp-webresearch,Search Google and do deep web research on any topic.,[],search-data-extraction,https://github.com/mzxrai/mcp-webresearch,https://github.com/mzxrai/mcp-webresearch,MIT,2024-12-06 04:28:52,2024-12-18 03:38:30,2024-12-18 03:38:25,35,,49,2.0,7.0,,,272,2024-12-15 22:32:43,0.1.6,3.0,5.0,5.0,,12,True,2,,
135,openbnb-org/mcp-server-airbnb,openbnb-org/mcp-server-airbnb,Provides tools to search Airbnb and get listing details.,"['cloud', 'typescript']",travel-and-transportation,https://github.com/openbnb-org/mcp-server-airbnb,https://github.com/openbnb-org/mcp-server-airbnb,MIT,2025-03-10 00:20:50,2025-07-18 03:57:21,2025-07-18 02:38:30,16,5.0,62,,4.0,5.0,8.0,246,2025-07-18 03:57:21,0.1.3,1.0,,,3.0,12,True,1,56.0,56.0
136,ferdousbhai/investor-agent,ferdousbhai/investor-agent,Yahoo Finance integration to fetch stock market data including options recommendations.,"['cloud', 'python']",finance-and-fintech,https://github.com/ferdousbhai/investor-agent,https://github.com/ferdousbhai/investor-agent,MIT,2025-02-21 06:20:12,2025-07-22 12:39:24,2025-07-22 05:28:50,37,21.0,29,4.0,3.0,,4.0,228,,,,,,5.0,12,True,2,,
137,hyperb1iss/droidmind,hyperb1iss/droidmind,"Control Android devices with AI through MCP, enabling device control, debugging, system analysis, and UI automation..","['local', 'python']",developer-tools,https://github.com/hyperb1iss/droidmind,https://github.com/hyperb1iss/droidmind,Apache-2.0,2025-03-02 10:46:15,2025-05-16 20:36:01,2025-05-16 20:33:53,82,21.0,21,3.0,3.0,3.0,6.0,198,2025-05-16 20:36:13,0.3.1,1.0,,,,12,True,2,,
138,furey/mongodb-lens,furey/mongodb-lens,MongoDB Lens: Full Featured MCP Server for MongoDB Databases.,"['local', 'typescript']",databases,https://github.com/furey/mongodb-lens,https://github.com/furey/mongodb-lens,MIT,2025-03-09 05:39:54,2025-04-23 00:44:12,2025-04-23 00:44:03,448,,19,8.0,6.0,,,176,2025-04-23 00:44:33,9.1.4,25.0,2.0,2.0,3.0,12,True,3,,
139,apify/mcp-server-rag-web-browser,apify/mcp-server-rag-web-browser,"An MCP server for Apifys open-source RAG Web Browser Actor to perform web searches, scrape URLs, and return content in..","['cloud', 'typescript']",search-data-extraction,https://github.com/apify/mcp-server-rag-web-browser,https://github.com/apify/mcp-server-rag-web-browser,Apache-2.0,2024-12-06 14:57:51,2025-03-17 10:16:31,2025-03-17 10:16:21,39,,21,4.0,16.0,4.0,1.0,176,2025-03-17 10:16:31,0.1.3,4.0,,,3.0,12,True,2,,
140,alexei-led/aws-mcp-server,alexei-led/aws-mcp-server,"A lightweight but powerful server that enables AI assistants to execute AWS CLI commands, use Unix pipes, and apply..","['cloud', 'python']",cloud-platforms,https://github.com/alexei-led/aws-mcp-server,https://github.com/alexei-led/aws-mcp-server,MIT,2025-03-19 13:42:40,2025-04-10 19:06:06,2025-04-10 19:01:00,114,,22,3.0,9.0,5.0,4.0,155,2025-04-11 17:45:49,1.3.0,6.0,,,,12,True,3,,
141,sxhxliang/mcp-access-point,sxhxliang/mcp-access-point,Turn a web service into an MCP server in one click without making any code changes.,"['cloud', 'linux', 'local', 'macos', 'typescript', 'windows']",aggregators,https://github.com/sxhxliang/mcp-access-point,https://github.com/sxhxliang/mcp-access-point,MIT,2025-04-06 15:35:00,2025-07-05 09:22:10,2025-07-05 09:19:06,62,38.0,17,3.0,3.0,,8.0,101,2025-07-05 09:22:10,0.1.3,6.0,,,3.0,12,True,3,,
142,FradSer/mcp-server-apple-reminders,FradSer/mcp-server-apple-reminders,An MCP server for interacting with Apple Reminders on macOS.,"['local', 'macos', 'typescript']",browser-automation,https://github.com/FradSer/mcp-server-apple-reminders,https://github.com/FradSer/mcp-server-apple-reminders,MIT,2025-02-14 18:03:02,2025-08-01 09:31:59,2025-08-01 07:35:18,48,31.0,14,1.0,7.0,2.0,8.0,97,2025-06-25 08:43:42,0.5.0,2.0,,,5.0,12,True,3,,
143,pydantic/logfire-mcp,pydantic/logfire-mcp,Provides access to OpenTelemetry traces and metrics through Logfire.,"['cloud', 'official', 'python']",monitoring,https://github.com/pydantic/logfire-mcp,https://github.com/pydantic/logfire-mcp,MIT,2025-03-06 12:26:11,2025-07-30 16:32:30,2025-07-30 16:31:43,42,24.0,15,3.0,24.0,5.0,4.0,97,2025-07-30 16:32:30,0.3.1,10.0,,,8.0,12,True,3,,
